Date,symbol,Open,High,Low,Close,Volume
2025-12-18,601965,17.18,17.44,17.16,17.33,57315
2025-12-19,601965,17.39,17.78,17.33,17.59,85161
2025-12-22,601965,17.71,18.1,17.59,17.76,121771
2025-12-23,601965,17.6,17.81,17.21,17.27,80558
2025-12-24,601965,17.33,17.33,17.14,17.22,42155
2025-12-25,601965,17.22,17.5,17.15,17.39,44616
2025-12-26,601965,17.38,17.85,17.25,17.68,76315
2025-12-29,601965,17.63,17.75,16.77,16.84,140598
2025-12-30,601965,16.73,16.88,16.63,16.79,52941
2025-12-31,601965,16.8,16.89,16.5,16.6,51272
2026-01-05,601965,16.61,16.77,16.45,16.71,48148
2026-01-06,601965,16.71,17.94,16.68,17.81,221916
2026-01-07,601965,17.66,17.94,17.32,17.64,109641
2026-01-08,601965,17.57,17.64,17.21,17.33,90509
2026-01-09,601965,17.36,18.03,17.22,17.66,138092
2026-01-12,601965,17.63,17.95,17.56,17.74,113062
2026-01-13,601965,17.73,17.73,17.24,17.3,88491
2026-01-14,601965,17.24,17.51,16.88,17.03,109130
2026-01-15,601965,17.03,17.63,16.94,17.2,100932
2026-01-16,601965,17.16,17.39,17.06,17.17,57695
2026-01-19,601965,18.51,18.89,18.25,18.89,244335
2026-01-20,601965,19.55,20.18,19.18,19.89,594056
2026-01-21,601965,19.88,19.93,19.49,19.68,286525
2026-01-22,601965,19.72,19.91,19.2,19.35,164202
2026-01-23,601965,19.42,20.24,19.41,20.24,279626
2026-01-26,601965,20.2,20.2,19.51,19.88,188554
2026-01-27,601965,19.89,20.38,19.73,19.92,136401
2026-01-28,601965,19.89,19.99,19.6,19.8,82794
2026-01-29,601965,19.64,19.76,19.18,19.21,137051
2026-01-30,601965,19.21,19.5,18.76,18.95,127138
