Date,symbol,Open,High,Low,Close,Volume
2025-03-12,603228,34.92,35.42,33.95,34.78,262423
2025-03-13,603228,34.6,35.64,34.6,35.05,261865
2025-03-14,603228,34.74,37.48,33.72,37.45,388890
2025-03-17,603228,37.42,38.03,35.97,36.64,361924
2025-03-18,603228,36.93,40.29,35.83,40.03,496882
2025-03-19,603228,38.53,38.53,36.03,36.03,505874
2025-03-20,603228,34.97,35.35,33.67,33.9,409703
2025-03-21,603228,33.63,34.72,33.57,34.56,270611
2025-03-24,603228,33.99,35.13,33.62,35.03,213978
2025-03-25,603228,35.07,35.21,32.91,33.13,236831
2025-03-26,603228,32.94,33.89,32.94,33.47,129590
2025-03-27,603228,33.23,33.56,32.33,32.77,134671
2025-03-28,603228,32.73,33.33,32.62,32.74,103502
2025-03-31,603228,32.57,33.39,31.8,33.29,149609
2025-04-01,603228,33.31,33.8,32.94,33.0,119984
2025-04-02,603228,32.94,34.01,32.86,33.77,126849
2025-04-03,603228,33.1,33.1,30.39,30.39,329122
2025-04-07,603228,27.35,27.66,27.35,27.35,70256
2025-04-08,603228,26.25,27.38,24.63,27.29,350907
2025-04-09,603228,25.58,26.92,24.6,26.46,270745
2025-04-10,603228,27.96,28.37,26.98,27.0,254141
2025-04-11,603228,26.71,28.36,26.46,27.73,256994
2025-04-14,603228,28.69,28.78,27.4,27.49,208125
2025-04-15,603228,27.48,27.59,26.79,27.2,142962
2025-04-16,603228,26.84,26.91,25.86,26.32,135632
2025-04-17,603228,26.13,26.78,26.13,26.41,87354
2025-04-18,603228,26.41,27.15,26.29,27.15,112425
2025-04-21,603228,27.1,27.64,26.76,27.44,122115
2025-04-22,603228,27.21,27.38,26.84,27.0,86323
2025-04-23,603228,27.47,27.97,27.21,27.61,169038
