Date,symbol,Open,High,Low,Close,Volume
2024-08-29,601727,3.54,3.62,3.53,3.59,154584
2024-08-30,601727,3.59,3.67,3.58,3.63,244465
2024-09-02,601727,3.68,3.8,3.64,3.65,452721
2024-09-03,601727,3.66,3.76,3.63,3.75,370731
2024-09-04,601727,3.71,3.78,3.71,3.73,222698
2024-09-05,601727,3.71,3.74,3.71,3.73,185370
2024-09-06,601727,3.73,3.78,3.72,3.72,176052
2024-09-09,601727,3.71,3.73,3.67,3.68,194240
2024-09-10,601727,3.68,3.72,3.62,3.7,183822
2024-09-11,601727,3.69,3.73,3.67,3.71,151460
2024-09-12,601727,3.73,3.8,3.72,3.78,235903
2024-09-13,601727,3.77,3.79,3.74,3.74,178582
2024-09-18,601727,3.98,3.99,3.78,3.83,845250
2024-09-19,601727,3.82,3.87,3.76,3.78,679954
2024-09-20,601727,3.8,3.87,3.78,3.81,474543
2024-09-23,601727,3.78,3.8,3.73,3.77,305148
2024-09-24,601727,3.76,3.87,3.76,3.86,464979
2024-09-25,601727,3.9,4.04,3.9,3.96,780756
2024-09-26,601727,3.97,4.03,3.94,4.03,511734
2024-09-27,601727,4.1,4.14,4.06,4.14,553766
2024-09-30,601727,4.31,4.53,4.27,4.52,1884769
2024-10-08,601727,4.97,4.97,4.64,4.88,2778827
2024-10-09,601727,4.85,4.86,4.51,4.63,1772779
2024-10-10,601727,4.7,4.8,4.6,4.65,1078930
2024-10-11,601727,4.66,4.66,4.4,4.43,943351
2024-10-14,601727,4.46,4.52,4.42,4.49,720005
2024-10-15,601727,4.46,4.55,4.41,4.42,702072
2024-10-16,601727,4.36,4.42,4.33,4.39,515019
2024-10-17,601727,4.44,4.64,4.43,4.43,997893
2024-10-18,601727,4.4,4.58,4.36,4.52,1046671
