Date,symbol,Open,High,Low,Close,Volume
2026-04-07,301389,47.5,49.51,47.25,48.3,69994
2026-04-08,301389,50.0,53.48,49.1,53.3,112189
2026-04-09,301389,52.01,55.3,51.89,54.4,100851
2026-04-10,301389,54.04,55.38,54.0,54.33,81488
2026-04-13,301389,53.7,56.12,53.69,55.65,79336
2026-04-14,301389,55.77,57.45,55.37,56.71,83140
2026-04-15,301389,56.6,60.2,56.6,57.62,127784
2026-04-16,301389,57.74,58.88,56.7,57.48,79349
2026-04-17,301389,57.13,59.2,56.66,58.0,64226
2026-04-20,301389,58.26,62.46,58.2,58.99,103728
2026-04-21,301389,58.86,64.2,57.92,62.79,150077
2026-04-22,301389,63.32,68.57,61.99,63.25,153362
2026-04-23,301389,63.25,63.8,59.72,59.81,108290
2026-04-24,301389,59.81,60.3,57.13,57.97,70968
2026-04-27,301389,57.71,62.88,57.2,61.29,121164
2026-04-28,301389,61.0,64.59,60.33,62.7,127873
2026-04-29,301389,61.25,66.17,61.25,65.11,145807
2026-04-30,301389,64.0,64.28,61.16,62.49,124332
2026-05-06,301389,62.83,67.98,61.89,66.13,135441
2026-05-07,301389,65.48,75.5,63.63,73.99,198747
2026-05-08,301389,72.9,75.96,72.0,72.31,144986
2026-05-11,301389,72.33,74.86,70.87,73.36,131172
2026-05-12,301389,73.03,78.99,73.03,75.98,136475
2026-05-13,301389,74.0,84.2,73.0,80.68,185209
2026-05-14,301389,80.35,81.4,74.02,74.02,146664
2026-05-15,301389,75.14,75.99,71.02,72.07,127076
2026-05-18,301389,71.69,76.0,70.3,73.82,102224
2026-05-19,301389,73.45,74.39,70.01,72.14,86150
2026-05-20,301389,70.8,74.57,69.59,73.45,110365
2026-05-21,301389,73.9,76.2,70.0,70.35,99347
