Date,symbol,Open,High,Low,Close,Volume
2025-12-23,600602,17.69,17.78,17.49,17.55,79065
2025-12-24,600602,17.56,17.94,17.55,17.87,110430
2025-12-25,600602,17.9,17.98,17.82,17.89,77387
2025-12-26,600602,17.86,18.15,17.85,17.98,102363
2025-12-29,600602,17.99,19.25,17.91,18.79,419582
2025-12-30,600602,18.65,18.77,18.48,18.6,222213
2025-12-31,600602,18.51,18.85,18.44,18.69,132709
2026-01-05,600602,18.8,18.88,18.66,18.81,161528
2026-01-06,600602,18.91,19.14,18.81,19.06,213074
2026-01-07,600602,19.0,19.42,18.89,19.12,228760
2026-01-08,600602,19.17,19.49,19.03,19.33,222798
2026-01-09,600602,19.26,19.98,19.25,19.95,316988
2026-01-12,600602,20.32,21.18,20.1,21.05,597514
2026-01-13,600602,21.35,21.5,20.3,20.4,513723
2026-01-14,600602,20.36,21.45,20.33,20.91,575687
2026-01-15,600602,20.85,20.85,20.21,20.47,311718
2026-01-16,600602,20.37,20.56,19.68,20.03,307541
2026-01-19,600602,19.97,20.1,19.55,19.58,209809
2026-01-20,600602,19.72,19.87,19.14,19.31,195786
2026-01-21,600602,19.16,19.67,19.13,19.28,153490
2026-01-22,600602,19.33,19.79,19.3,19.58,193447
2026-01-23,600602,19.58,19.69,19.47,19.59,181306
2026-01-26,600602,19.72,20.65,19.54,20.15,491604
2026-01-27,600602,20.31,22.17,20.06,22.17,1251221
2026-01-28,600602,23.27,23.69,22.02,23.0,1833747
2026-01-29,600602,22.77,23.32,21.5,21.72,1319969
2026-01-30,600602,21.85,22.3,21.0,21.21,786462
2026-02-02,600602,21.2,21.7,20.81,20.96,629699
2026-02-03,600602,21.07,21.7,20.71,21.64,702435
2026-02-04,600602,21.27,21.28,19.6,20.2,737868
