Date,symbol,Open,High,Low,Close,Volume
2025-05-16,301196,63.68,68.14,63.06,65.89,54608
2025-05-19,301196,65.52,65.8,61.78,63.17,50606
2025-05-20,301196,62.54,63.91,62.12,62.24,26892
2025-05-21,301196,61.74,62.26,60.1,60.11,35925
2025-05-22,301196,60.11,61.08,59.55,59.81,20690
2025-05-23,301196,59.61,60.69,58.6,58.6,27351
2025-05-26,301196,58.82,59.3,58.09,58.72,23775
2025-05-27,301196,58.55,58.91,56.45,56.52,30560
2025-05-28,301196,56.83,60.22,56.24,59.99,59812
2025-05-29,301196,59.21,60.83,58.93,59.99,37840
2025-05-30,301196,59.71,60.7,57.06,57.64,26359
2025-06-03,301196,57.03,59.56,57.03,59.04,30287
2025-06-04,301196,59.17,61.85,58.63,60.99,43741
2025-06-05,301196,62.35,70.44,62.08,69.61,108432
2025-06-06,301196,67.94,69.12,65.56,69.09,76126
2025-06-09,301196,68.97,70.04,67.01,67.88,48245
2025-06-10,301196,67.99,69.66,63.36,64.34,60294
2025-06-11,301196,63.48,71.53,63.42,68.97,92896
2025-06-12,301196,68.68,71.39,67.07,70.32,74340
2025-06-13,301196,69.76,70.01,66.81,66.87,42019
2025-06-16,301196,67.3,69.18,65.67,66.19,26861
2025-06-17,301196,66.05,66.64,62.77,62.96,37032
2025-06-18,301196,62.57,64.29,60.94,64.01,45613
2025-06-19,301196,63.07,67.1,61.3,61.5,59321
2025-06-20,301196,60.12,62.09,56.96,57.14,65948
2025-06-23,301196,56.84,57.83,56.36,56.78,29781
2025-06-24,301196,57.13,64.42,56.96,61.53,61687
2025-06-25,301196,61.68,67.21,61.15,66.97,74609
2025-06-26,301196,66.21,69.84,66.21,67.01,65169
2025-06-27,301196,67.32,67.74,65.62,65.81,34506
